distance,distribution,trigger,dod,instance_name
26397.576279282755,C,endogenous,0.25,p84
23600.570747834907,C,endogenous,0.25,p84
25160.618895645308,C,endogenous,0.25,p84
26157.185456884097,C,endogenous,0.25,p84
25866.389345822066,C,endogenous,0.25,p84
24836.63834974063,C,endogenous,0.25,p84
25377.070013121647,C,endogenous,0.25,p84
25949.03852444232,C,endogenous,0.25,p84
27059.372637636978,C,endogenous,0.25,p84
25003.57178413459,C,endogenous,0.25,p84
25098.704451324193,C,endogenous,0.25,p84
27718.942686243012,C,endogenous,0.25,p84
27382.32991898657,C,endogenous,0.25,p84
26625.027254536908,C,endogenous,0.25,p84
27029.08067222947,C,endogenous,0.25,p84
25870.05998507633,C,endogenous,0.25,p84
26317.68835564709,C,endogenous,0.25,p84
25136.053772560907,C,endogenous,0.25,p84
26977.334835877813,C,endogenous,0.25,p84
26048.293311089503,C,endogenous,0.25,p84
25671.303309190873,C,endogenous,0.25,p84
25198.53333407112,C,endogenous,0.25,p84
26928.956005151143,C,endogenous,0.25,p84
25575.702272758106,C,endogenous,0.25,p84
24806.600121620762,C,endogenous,0.25,p84
26218.5051323124,C,endogenous,0.25,p84
26974.955193617858,C,endogenous,0.25,p84
25385.518456502577,C,endogenous,0.25,p84
25156.560875802817,C,endogenous,0.25,p84
29433.20414626998,C,endogenous,0.25,p84
26200.44819417979,C,endogenous,0.25,p84
25285.365411102423,C,endogenous,0.25,p84
25220.186332647223,C,endogenous,0.25,p84
23709.777046675674,C,endogenous,0.25,p84
24686.19694117289,C,endogenous,0.25,p84
24863.24854342586,C,endogenous,0.25,p84
25471.137623471557,C,endogenous,0.25,p84
25666.90900527026,C,endogenous,0.25,p84
25377.984105658175,C,endogenous,0.25,p84
24883.05233927018,C,endogenous,0.25,p84
26489.608784427557,C,endogenous,0.25,p84
26626.676710102787,C,endogenous,0.25,p84
26987.448667390792,C,endogenous,0.25,p84
24503.758920908065,C,endogenous,0.25,p84
25234.523664110067,C,endogenous,0.25,p84
25078.919801249194,C,endogenous,0.25,p84
27356.49399846772,C,endogenous,0.25,p84
26490.169120759398,C,endogenous,0.25,p84
25131.20310196912,C,endogenous,0.25,p84
25679.958713160664,C,endogenous,0.25,p84
27334.236834769254,C,endogenous,0.25,p84
25197.9641820733,C,endogenous,0.25,p84
25890.590950329664,C,endogenous,0.25,p84
26064.98096084826,C,endogenous,0.25,p84
23245.48729625416,C,endogenous,0.25,p84
25803.876888071118,C,endogenous,0.25,p84
25189.214266560484,C,endogenous,0.25,p84
26315.9302626584,C,endogenous,0.25,p84
27808.582920289264,C,endogenous,0.25,p84
26557.901301063263,C,endogenous,0.25,p84
26200.4373663773,C,endogenous,0.25,p84
25667.588418785628,C,endogenous,0.25,p84
24501.450885938353,C,endogenous,0.25,p84
25037.37309037664,C,endogenous,0.25,p84
23989.855451294166,C,endogenous,0.25,p84
26853.952613763453,C,endogenous,0.25,p84
28004.305021713746,C,endogenous,0.25,p84
27227.79616930668,C,endogenous,0.25,p84
25123.042986478198,C,endogenous,0.25,p84
25794.951972260667,C,endogenous,0.25,p84
28426.15847404459,C,endogenous,0.25,p84
27452.803430933607,C,endogenous,0.25,p84
25748.75155267565,C,endogenous,0.25,p84
25740.072782497904,C,endogenous,0.25,p84
24857.745949259,C,endogenous,0.25,p84
25307.834045328418,C,endogenous,0.25,p84
25379.04453185014,C,endogenous,0.25,p84
25116.67136872605,C,endogenous,0.25,p84
24508.083089864598,C,endogenous,0.25,p84
26732.04029021817,C,endogenous,0.25,p84
23353.908847776533,C,endogenous,0.25,p84
27962.61668863052,C,endogenous,0.25,p84
26300.71538993129,C,endogenous,0.25,p84
24796.184542796767,C,endogenous,0.25,p84
25404.60293413748,C,endogenous,0.25,p84
23950.77106091584,C,endogenous,0.25,p84
27576.081007692464,C,endogenous,0.25,p84
27361.341029887062,C,endogenous,0.25,p84
26869.13686363598,C,endogenous,0.25,p84
25590.91782372205,C,endogenous,0.25,p84
24734.06838891261,C,endogenous,0.25,p84
23391.153258439608,C,endogenous,0.25,p84
23574.775308483568,C,endogenous,0.25,p84
25248.678178919097,C,endogenous,0.25,p84
24256.945773956748,C,endogenous,0.25,p84
25920.0405760446,C,endogenous,0.25,p84
28097.157765753203,C,endogenous,0.25,p84
25269.0729125502,C,endogenous,0.25,p84
32106.079018781562,C,endogenous,0.25,p85
31518.350559163628,C,endogenous,0.25,p85
33068.383161442966,C,endogenous,0.25,p85
31234.476524098936,C,endogenous,0.25,p85
30972.220616978346,C,endogenous,0.25,p85
30911.12592716397,C,endogenous,0.25,p85
30353.59939614125,C,endogenous,0.25,p85
32256.37362692948,C,endogenous,0.25,p85
33051.55251289982,C,endogenous,0.25,p85
31696.678775945707,C,endogenous,0.25,p85
32242.50216586453,C,endogenous,0.25,p85
31878.434151532474,C,endogenous,0.25,p85
33324.337809601195,C,endogenous,0.25,p85
29768.54781560101,C,endogenous,0.25,p85
32085.003921111205,C,endogenous,0.25,p85
32760.713133501442,C,endogenous,0.25,p85
30611.434245235643,C,endogenous,0.25,p85
32107.716682359627,C,endogenous,0.25,p85
32338.247468931724,C,endogenous,0.25,p85
31150.38129331502,C,endogenous,0.25,p85
32084.86113475326,C,endogenous,0.25,p85
32244.65764666041,C,endogenous,0.25,p85
29881.594232975942,C,endogenous,0.25,p85
31277.356374814222,C,endogenous,0.25,p85
31963.344450904926,C,endogenous,0.25,p85
29785.50925507618,C,endogenous,0.25,p85
30301.70182402884,C,endogenous,0.25,p85
32040.262988084414,C,endogenous,0.25,p85
32184.270408981283,C,endogenous,0.25,p85
31913.80433739291,C,endogenous,0.25,p85
32410.609243916177,C,endogenous,0.25,p85
29998.42111939216,C,endogenous,0.25,p85
